,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,genre,year
1673,0.468,0.782,11,-8.303,0,0.898,0.812,1.79e-05,0.107,0.24,159.621,71tHNdPFrCNiulvoKzeEuk,243720,4,4,2019
1674,0.393,0.0878,5,-21.628,1,0.053,0.989,0.856,0.316,0.122,185.562,5hKi8LHc2GF5v9TSsvgZaf,174400,4,4,2019
1675,0.413,0.497,6,-9.039,1,0.0736,0.636,0.0,0.179,0.368,112.306,18Dv8QiJUFh0erAN0R7jDh,213493,4,4,2019
1676,0.393,0.852,6,-2.278,1,0.0726,0.0193,0.0,0.291,0.15,106.902,0ISIeXBvGQIcQGYfR56jy8,332547,3,4,2019
1677,0.67,0.598,8,-7.273,1,0.219,0.000338,1.31e-06,0.0488,0.955,135.04,24rdY7YxaEBcOGOtkDEKVe,88889,4,4,2020
1678,0.788,0.583,1,-6.105,1,0.087,0.0434,0.0,0.108,0.468,80.044,6JaehWULm97mbTTVxQXQAY,186000,4,4,2020
1679,0.694,0.697,8,-7.373,0,0.0379,0.162,0.0,0.0821,0.379,89.966,4k6ag7W7KJLM8QcdhvgXVN,178329,4,4,2020
1680,0.659,0.654,7,-7.196,1,0.355,0.0692,0.0,0.107,0.551,77.671,76dwa2dQdnKiZ3V0zzPrfj,178065,4,4,2020
1681,0.426,0.539,1,-7.75,0,0.231,0.0888,1.83e-06,0.187,0.537,81.528,7sNcVgHG52lT2e1rDYcWFx,159018,4,4,2020
1682,0.863,0.716,1,-6.332,0,0.154,0.195,0.0,0.145,0.961,132.076,4kK0SDeGHtCtZwN52nhg6L,163636,4,4,2020
1683,0.675,0.577,7,-5.431,0,0.338,0.331,0.0,0.0857,0.568,193.777,0ShIftP1VFRovK53oQn8KJ,222680,4,4,2020
1684,0.71,0.713,11,-5.229,1,0.22,0.042,0.0,0.181,0.568,158.109,7vvCvoT0rBvFOOWCcGUkh8,122279,4,4,2020
1685,0.761,0.517,5,-6.916,1,0.0927,0.114,0.0,0.157,0.46,147.912,7dH9TPjTWQ60wOJkmYay8a,174730,4,4,2020
1686,0.789,0.517,6,-7.969,0,0.0974,0.406,0.0,0.113,0.442,124.935,5OJhdmel6UeoV5bsM6T3Qp,234240,4,4,2020
1687,0.626,0.673,6,-6.658,0,0.252,0.366,0.0,0.111,0.315,89.877,4yVpS65YGing0IChXRV9Yd,174333,4,4,2020
1688,0.759,0.56,6,-6.911,1,0.151,0.0739,0.0,0.111,0.676,149.038,7hKksb6gmn4XBvKvJJXGDn,157852,4,4,2020
1689,0.432,0.642,11,-5.408,0,0.337,0.216,0.0,0.156,0.726,78.379,7yEhfCJXIItWdq92chkljY,154286,5,4,2020
1690,0.785,0.457,1,-8.002,0,0.0621,0.29,0.0,0.122,0.687,128.93,3gJJRTc5I22Eq41NYey8RT,139535,4,4,2020
1691,0.51,0.516,4,-7.599,0,0.107,0.342,0.0,0.0968,0.427,111.941,0zNN2ezI0qylU2sIHyqfJa,162857,5,4,2020
1692,0.561,0.627,0,-6.786,1,0.267,0.0686,0.0,0.112,0.354,149.001,1oVf17THhE9TZUE3BgHgWZ,201596,4,4,2020
1693,0.8,0.658,1,-6.142,0,0.079,0.25,0.0,0.111,0.462,140.042,7hxHWCCAIIxFLCzvDgnQHX,195429,4,4,2020
1694,0.568,0.565,11,-7.187,1,0.338,0.116,0.0,0.428,0.403,137.075,2y1P8OJrGavGIWjfph2Y8H,141898,4,4,2020
1695,0.635,0.761,10,-10.344,0,0.0361,0.00617,0.00032,0.141,0.292,140.032,0rGjUP7JRODzpaxBrWNOwV,219428,4,4,2020
1696,0.697,0.914,7,-6.156,1,0.542,0.124,0.00152,0.077,0.507,150.055,0v44tKL3bRSRpe4puN0Rgz,162096,4,4,2020
1697,0.677,0.696,0,-6.181,1,0.119,0.321,0.0,0.42,0.464,90.03,2AMebAycIQOpKnliZqjV78,198082,4,4,2021
1698,0.671,0.336,10,-8.494,0,0.241,0.705,0.00751,0.0577,0.518,75.051,4rUga0EkCmCQknhlRzVAII,212496,4,4,2021
1699,0.357,0.425,5,-7.301,1,0.0331,0.586,0.0,0.322,0.273,102.074,4BOLjwFYAJqtXQJDRWI3a6,198040,3,4,2021
1700,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,0yOi5ugOJ3BRdQSqLo80jz,238805,4,4,2021
1701,0.765,0.373,8,-9.915,1,0.0713,0.329,0.541,0.112,0.59,85.015,42jMZzOLK9qdfnaqB4ftcF,195777,4,4,2021
1702,0.713,0.676,10,-5.483,1,0.027,0.0377,0.0,0.154,0.721,99.048,2pONG5cFnoJD3MsYhXDb9R,227395,4,4,2021
1703,0.653,0.524,11,-9.016,0,0.0502,0.112,0.0,0.203,0.553,83.97,2WGALwocm3wtlDlx4TQT4F,160191,4,4,2021
1704,0.889,0.34,11,-7.773,0,0.0697,0.218,0.13,0.055,0.716,94.009,2SfncPiRLRgUeJHmrYRrxD,174321,4,4,2021
1705,0.862,0.631,7,-4.746,1,0.0515,0.291,0.000209,0.123,0.841,128.978,6nZo0Xe90DgaCoIC99urnl,223488,4,4,2021
1706,0.724,0.744,7,-4.757,1,0.0398,0.00219,4.49e-06,0.116,0.645,119.978,7rEldfT7IPq73c0CV5as6s,154983,4,4,2021
1707,0.674,0.774,11,-7.567,0,0.0895,0.0686,0.00188,0.393,0.329,112.05,461dWDOr4EdE2I0mZA3HbP,176547,4,4,2021
