danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
0.286,0.96,2,-4.832,1,0.0949,0.00276,0.00349,0.964,0.344,177.773,6K7izue7VsHqxsVTCT03LA,448383,4
0.345,0.736,4,-11.147,0,0.0473,0.606,0.939,0.776,0.206,118.954,4Kohkm2tDBnkEQKo3zoyWt,339688,4
0.477,0.976,9,-4.627,1,0.11,0.00329,0.0366,0.994,0.449,130.105,2jXOWMFGxspgEVFnt5uUM3,256826,4
0.273,0.972,9,-5.35,1,0.174,0.0104,0.0937,0.992,0.354,172.029,3NzvnxmTGXgg4y8uenOL8b,506630,4
0.357,0.956,11,-5.157,0,0.143,0.0022,8.18e-05,0.654,0.382,167.948,7sIRXRVg7pmwBvaS4iVidf,450766,4
0.224,0.873,9,-5.635,1,0.0649,0.043,0.00186,0.968,0.52,157.995,4LPKZZJomiHGI1XBfahqEp,319932,4
0.418,0.905,4,-4.859,1,0.0637,0.00194,0.014,0.631,0.482,141.981,5IWxCDOFZatg3mrzT3pDV1,548740,4
0.308,0.882,6,-4.039,1,0.0613,8.23e-05,0.0939,0.0949,0.168,123.859,0FwgdcLIAlrGyAdgWtaa2A,486227,4
0.385,0.711,3,-4.96,0,0.0328,0.000192,0.0023,0.0594,0.146,118.48,1yEd8JDERxo0L5GjkPpLf1,532267,4
0.469,0.873,1,-3.07,1,0.0291,0.00103,0.00716,0.245,0.737,104.057,4jNSYb0lv4OHrryHIBUpIL,299933,4
0.481,0.263,3,-12.749,0,0.0331,0.796,0.0378,0.379,0.184,112.131,7qullrnlGewkUNx8rQFbsy,277787,4
0.314,0.827,3,-4.021,0,0.0441,8.93e-05,0.291,0.152,0.398,127.071,2gQ9kiiTbMdLpy1WuuLdYr,421067,4
0.34,0.891,10,-3.502,0,0.0372,7.07e-06,0.0101,0.26,0.572,127.253,7jzBoCqW8FY4PaFIoKaJYI,286507,4
0.324,0.744,1,-4.842,1,0.0565,0.00515,0.534,0.0893,0.368,135.13,4NcS9CMx8VdKmPx4AkMcPG,471667,4
0.416,0.943,3,-4.313,0,0.0751,0.00172,0.00241,0.26,0.331,140.017,10s7VtI2Lm7uaK6qkx9lt8,440453,4
0.412,0.968,11,-3.692,1,0.0836,7.51e-05,0.0149,0.105,0.227,76.929,5aefX458h1rr8HGkca7BlU,357907,4
0.344,0.819,8,-4.01,0,0.0421,0.00281,0.00427,0.108,0.518,131.546,7sd7YueDoXHZq8Ti3uovMO,220747,4
0.482,0.845,3,-2.809,0,0.0299,0.000831,0.0291,0.0583,0.274,109.602,5p7E4n5tUpPjhXLZ5EWO6f,334600,4
0.438,0.33,4,-14.834,0,0.284,0.95,0.0,0.747,0.915,114.681,5gGnutXgp88y9skRWjR9AT,55070,4
0.532,0.405,6,-7.683,1,0.069,0.481,0.0,0.144,0.223,114.363,4mPqY3ys5yhDmCCA9AKLNk,177446,1
0.634,0.427,1,-8.599,0,0.047,0.364,1.32e-05,0.442,0.396,81.503,4wDqeyNLU2Jx9iu4NBIG8O,193850,3
0.6,0.449,7,-7.432,1,0.0527,0.16,2.98e-05,0.113,0.143,157.821,3Pj5l5tiIKOi0rRsojFFPH,205116,3
0.673,0.564,6,-8.629,0,0.272,0.139,0.0,0.0711,0.462,101.149,5OLJPA7u6IutzHDjHKxMFJ,141505,4
0.538,0.626,1,-5.952,0,0.028,0.266,0.0,0.617,0.849,70.845,5CF1tiBY1XB6vzDVSnxbyg,214174,4
0.399,0.889,11,-6.737,1,0.0429,0.0163,0.00015,0.176,0.964,207.081,0nR1ACBxtFnjYwmbIA5j5s,202587,4
0.556,0.384,0,-9.774,1,0.0233,0.336,0.0017,0.111,0.259,90.831,7Abhd1BpkZ9VRi5oa3Dmkc,329587,4
0.526,0.722,11,-6.305,1,0.0364,0.000714,0.00792,0.145,0.761,124.933,6G4rqUSD8PHXEMpG47c56x,224707,4
0.499,0.308,10,-9.861,1,0.0265,0.76,0.000392,0.0989,0.29,136.0,62vHJ042IqczHw8B4s9ymU,280107,4
0.756,0.773,5,-6.65,0,0.0306,0.0848,0.0026,0.0792,0.954,98.384,7LFer4drCtWSyD8oxORZtC,336800,4
0.624,0.957,10,-6.388,1,0.0379,0.159,0.0,0.0355,0.971,157.72,7JDoIqP6hQaSeuRGGRzEsG,213787,4
0.717,0.861,9,-5.986,1,0.0271,0.354,0.000355,0.151,0.934,98.628,06L3xuj2Gamv9j8Phlnz9z,242720,4
0.286,0.0898,7,-15.537,1,0.0461,0.964,0.794,0.373,0.64,72.205,1SuqtfPuhGO1mWpidEi4P2,51893,3
0.516,0.48,2,-7.981,1,0.0232,0.36,1.91e-05,0.0968,0.52,102.312,3RbELYmC7ElCJu1mmL7BBS,248787,4
0.619,0.536,0,-8.613,1,0.0255,0.411,1.26e-05,0.101,0.867,74.735,4KiEfYyaKrbTGnmgQHYuHx,217985,4
0.388,0.613,9,-17.074,1,0.0508,0.0872,0.482,0.204,0.825,91.397,6GFKdCzvEjXK3Dr9vAa0eT,292133,4
0.601,0.574,7,-11.374,1,0.0299,0.231,0.0299,0.287,0.968,164.099,4BijuvHrTy2P3V5euSGLiX,183427,4
0.624,0.57,11,-13.784,0,0.0282,0.163,0.254,0.34,0.926,111.569,7gA29xIRvzKJ9noaszephJ,292067,4
0.453,0.672,2,-13.044,1,0.0462,0.0129,0.00763,0.183,0.521,120.929,6fluJ30KQTSOzU3fAsBX5B,366707,4
0.577,0.618,2,-12.373,1,0.0345,0.249,0.000171,0.0873,0.574,94.419,3zptHVy08pFqDyfvLFA0wE,234027,4
0.497,0.318,9,-18.182,1,0.0294,0.0363,0.00763,0.0974,0.319,84.49,4reGhfOwxDUSSk1btybGCS,234867,4
0.504,0.624,4,-13.945,1,0.0524,0.00826,0.0455,0.0742,0.628,117.314,2RiD1K9cT6wnGmvsmkdWEc,180373,4
0.629,0.508,9,-16.224,1,0.0938,0.526,0.364,0.313,0.564,122.813,2MMTUKq9ET0B8b0mt7oYFV,300360,4
0.364,0.663,9,-12.648,1,0.0878,0.108,0.00526,0.203,0.542,168.562,0jdFYK4xZlFSYfpj3Hnwgl,342133,4
0.57,0.894,7,-4.998,1,0.0282,0.00484,0.0003,0.364,0.686,100.036,61Obnq5BpozFbBESsBB6XT,250347,4
0.696,0.87,2,-3.566,1,0.0487,0.00213,0.000229,0.0525,0.876,117.998,6HSbHJSeDXW0nej0oSXSE1,176507,4
