,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,genre
91,0.54,0.143,7,-21.455,1,0.509,0.379,0.0272,0.123,0.0907,167.572,7uaJn8IBJsmHGzJYThD3OO,75560,3
92,0.56,0.526,6,-9.635,0,0.245,0.071,0.0,0.204,0.0515,86.704,0Ku5wWDN3bNe9O7MdxvzfD,208096,3
93,0.849,0.312,1,-10.535,1,0.0613,0.0411,0.895,0.103,0.494,99.997,1reWqUNMwp5ciYLIufmWLI,149040,3
94,0.69,0.559,10,-7.663,0,0.221,0.804,2.65e-05,0.108,0.644,160.036,2uQuVZ9HiFLab15aTajm7G,165000,3
95,0.714,0.369,5,-9.459,0,0.0636,0.694,0.0,0.096,0.158,119.923,3Wp5VK1TTwCmR5DFkpsFh4,248000,3
96,0.844,0.805,11,-6.013,0,0.114,0.441,2.21e-06,0.194,0.926,100.011,2to4uBUFChBW1S1RPimt8q,205200,3
97,0.708,0.549,7,-6.726,0,0.332,0.523,0.0,0.282,0.824,89.845,1Lhxhv0U75SkzsYsHZd2PF,216000,3
98,0.808,0.462,1,-7.94,0,0.0607,0.817,1.08e-06,0.14,0.544,116.001,0TlqVwC0VxmZW3FxB5KwUL,284483,3
99,0.648,0.553,11,-8.591,0,0.254,0.499,0.0,0.0969,0.612,160.067,6E0CSURxtRYzLuxsU4ENLD,255000,3
100,0.537,0.577,8,-7.822,0,0.038,0.631,7.05e-05,0.172,0.79,149.96,4MujxfpVAEGZRrjTaWk1Gt,209400,3
101,0.812,0.625,3,-7.878,0,0.167,0.767,0.0,0.144,0.539,99.963,6XcRI0T4J6ZokPfQyiHncH,175200,3
102,0.838,0.64,5,-7.352,0,0.27,0.541,0.0,0.1,0.763,120.01,3UMmI7r1foraB4EpCGwia8,213000,3
103,0.823,0.627,7,-7.3,1,0.216,0.412,0.00392,0.138,0.286,140.042,4iuBVUSiNRzVkbNlrntdC4,219214,3
104,0.766,0.638,5,-7.088,0,0.108,0.609,0.0,0.0997,0.404,106.0,1qQbPwNJSMft2yW6PJUOUN,201509,3
105,0.839,0.462,5,-8.921,1,0.049,0.894,0.000325,0.113,0.714,119.946,4atXxk88V41NpJw0DutWKi,309000,3
106,0.342,0.568,10,-7.198,0,0.0376,0.561,1.22e-05,0.134,0.118,80.773,5JHUKJVu6hyk5qlpQZDZ0W,207562,3
107,0.263,0.149,7,-11.852,1,0.0376,0.909,2.02e-05,0.134,0.202,145.551,0vyZfW2Xx4yIS2eA4Xw19u,186575,3
108,0.758,0.559,8,-10.326,0,0.163,0.0504,0.0,0.172,0.345,112.938,0T7GMqDSnmVEXUx5NIQfNn,218200,3
109,0.784,0.545,4,-8.524,0,0.0416,0.0394,0.0,0.0865,0.56,133.004,7q3KLkatqLCyAgo2GG4T8h,139053,3
110,0.759,0.727,1,-5.617,1,0.111,0.000151,0.0015,0.0588,0.376,139.995,0XOMoQbYxYPVLxwK4VDmNA,169187,3
111,0.406,0.516,11,-10.899,0,0.392,0.0162,0.0,0.245,0.335,174.237,0uQzOOq3aC9mszrmLLYoU3,193960,3
112,0.707,0.492,7,-8.527,1,0.363,0.0315,0.0,0.148,0.121,140.024,1rUHgZy3YOrs3MarByuvJC,197307,3
113,0.598,0.655,6,-6.453,0,0.278,0.118,0.0,0.144,0.607,91.471,493yZ6tjpDiUQbwnSTwMgt,211467,3
114,0.684,0.469,8,-6.823,1,0.256,0.00343,0.0,0.143,0.222,74.957,5luCU6jxiLqavlTWqGPqVL,153707,3
115,0.79,0.377,10,-9.513,1,0.329,0.0256,0.0,0.0832,0.228,147.036,4novMmedjP9sZpTKO2SCr8,191160,3
116,0.647,0.521,0,-10.753,1,0.297,0.198,0.0,0.282,0.558,140.196,6yyutFC7zZminBtKEUE2Bd,183573,3
117,0.715,0.475,10,-8.151,1,0.374,0.0445,0.0,0.12,0.153,140.01,3mnC6CoxRfv9HoA0959QFa,194747,3
