danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
0.869,0.515,0,-8.612,1,0.156,0.00639,0.333,0.386,0.12,128.026,2sYofbPliAeGk2b3vRvTy8,54213,4
0.729,0.739,11,-6.884,0,0.198,0.00167,0.0033,0.242,0.748,128.051,6XevtkvjX7n0ovvQTD7C3n,234373,4
0.416,0.212,0,-10.893,1,0.0401,0.412,0.0,0.534,0.121,149.665,2YT0mNZPVR6nIjTZvacOaS,296347,4
0.732,0.617,8,-6.421,1,0.0505,0.0509,0.0,0.0905,0.361,129.002,1kTBsclrZLZaDTTco6ITcl,286507,4
0.591,0.655,3,-6.332,1,0.0731,0.0263,0.0,0.0572,0.226,127.904,4FyiAkd50HDRS7JY2MoeBX,209520,4
0.815,0.705,5,-7.078,0,0.123,0.0166,0.0,0.344,0.467,130.014,4VjsrhoKvIkiQzy0GD7YpR,232819,4
0.35,0.636,7,-8.158,1,0.0746,0.444,0.0,0.0811,0.208,95.162,437eNQXusBT4q9q3f34oW9,217997,4
0.756,0.563,6,-6.052,0,0.412,0.0655,0.000172,0.109,0.546,171.82,4G4c7OA6VvCXIptymKC4Zr,230493,4
0.893,0.601,10,-4.511,0,0.256,0.229,0.000508,0.135,0.615,81.015,4Jx80LQk7ZtijTh1iBo7H5,230226,4
0.791,0.765,1,-6.276,1,0.323,0.113,1.21e-06,0.0524,0.88,189.335,4w9R67T6i71zoRSCWrkXun,234533,4
0.794,0.603,5,-5.332,0,0.0508,0.102,1.16e-06,0.0794,0.691,80.549,4NuVzZRzGVS3QTmSd3QWIL,238079,4
0.601,0.643,6,-6.377,1,0.251,0.0623,0.0,0.179,0.963,83.851,6gYFKX8LmAl5zeV4OEztWD,303079,4
0.914,0.531,1,-4.929,1,0.0808,0.0998,0.00142,0.0933,0.692,98.11,1jveDJ9u2lpC2ns0OM9eLX,203479,4
0.822,0.884,4,-6.173,0,0.211,0.014,1.19e-06,0.278,0.747,82.041,7tBSQ3VOM7eTBEjdAVPmtp,288026,4
0.821,0.517,2,-5.471,1,0.413,0.242,0.00687,0.114,0.735,164.023,19EoUR2SXSTB2YzHyQZ0gY,182306,4
0.862,0.569,6,-3.741,1,0.0507,0.0034,0.0521,0.142,0.495,89.757,476pVteObXPW0p12eJyKuD,208359,4
0.94,0.874,2,-5.058,1,0.128,0.356,0.0,0.0603,0.893,117.999,5Wq3l9MOiC7RdwgmmM0gTv,175346,4
0.587,0.795,7,-3.162,1,0.288,0.152,0.0,0.309,0.454,74.246,0hHD1jnxaVElSKxj0UVsJ8,295319,4
0.754,0.803,4,-3.436,0,0.209,0.0199,0.0102,0.0888,0.733,170.029,7EVKxavn62KKQYtLqDA7gZ,207453,4
0.947,0.749,0,-5.246,1,0.0447,0.211,2.66e-06,0.0623,0.864,105.078,5JbyZSTELdKiOVoG1XeYw0,173959,4
0.93,0.683,5,-6.185,1,0.276,0.15,1.01e-05,0.131,0.824,98.233,4sMcyMiSn4VxR71fVEpNuf,218626,4
0.777,0.567,8,-5.656,0,0.126,0.115,8.43e-06,0.144,0.741,94.016,0AnkfR8VH9fsSBe3FNQLQ5,196213,4
0.873,0.706,11,-5.158,0,0.294,0.102,0.0,0.156,0.73,99.983,6V5GtE1PehW7HisvpXhqSV,242293,4
0.655,0.636,9,-6.314,1,0.366,0.252,6.95e-06,0.0905,0.505,75.776,6MTfx0A6NZE7Rco0XEdN9r,260853,4
0.753,0.659,8,-9.671,1,0.416,0.659,0.0,0.098,0.459,146.022,1A8990rtwHQ417l3yADe5t,116256,4
0.741,0.719,11,-5.797,0,0.301,0.119,0.0,0.259,0.654,143.025,5H5QE7O0Dd1NzC1WXUMJdn,127547,4
