,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
163,0.521,0.418,5,-11.227,1,0.044,0.956,0.0979,0.116,0.837,186.906,5JDAp9g2QCqr0kWBRQ46qZ,193584,4
164,0.661,0.51,7,-8.353,0,0.0324,0.914,0.0059,0.132,0.907,108.64,2kc7R8VVRVNluBUJLSU9LQ,184873,4
165,0.562,0.231,1,-12.486,1,0.0428,0.986,0.918,0.518,0.855,103.452,2JJIU4FnzJ8r0L5N4dZD2X,195831,4
166,0.684,0.497,0,-9.251,0,0.0392,0.965,0.954,0.283,0.964,128.234,24UiAjXJDOgJ2dMEpyrrbF,160251,4
167,0.76,0.472,0,-10.103,1,0.0383,0.947,0.889,0.171,0.961,125.984,2cJvRA3mAwSrbdIfNEXHSM,193118,4
168,0.571,0.183,3,-14.673,1,0.054,0.994,0.924,0.135,0.655,110.388,4SxukYCTpj9iVx5dmVxAy9,167012,3
169,0.737,0.38,3,-12.167,1,0.0421,0.972,0.953,0.191,0.961,127.948,4J2HOK7cvMUrkAvmuUHSWY,160370,4
170,0.516,0.439,4,-18.387,1,0.0304,0.942,0.965,0.0953,0.797,124.76,3Y8xyGNGifcAOvmcEoV7zc,124434,4
171,0.469,0.188,2,-17.646,1,0.0309,0.839,0.927,0.109,0.188,123.415,6hjjsS15s4d2Frd3gBO3Mw,166000,4
172,0.39,0.171,10,-19.737,1,0.0262,0.925,0.845,0.149,0.151,69.218,0ad46t9qrqmv9pQF84GzdY,171750,4
173,0.726,0.203,8,-19.128,1,0.0477,0.925,0.753,0.107,0.267,126.172,3xhYv4yz6zlXK8QyRkIPkE,172250,4
174,0.392,0.189,1,-15.995,1,0.03,0.57,0.865,0.122,0.0363,105.944,7fzP9VGjIgnLZ5yr3ZQ9mi,135500,4
175,0.649,0.184,1,-21.866,1,0.0523,0.92,0.829,0.102,0.286,137.684,71qdWL3Mwir9j81vWVbMIs,164750,4
176,0.329,0.237,5,-18.7,0,0.0318,0.945,0.933,0.167,0.149,66.094,5BAjHXYnQ33ws4LPztNcIt,149259,4
177,0.515,0.244,5,-18.349,0,0.0276,0.715,0.888,0.106,0.347,112.363,6uxTfv83A0BnhKuruePcZP,159500,4
178,0.509,0.178,8,-21.003,1,0.0445,0.952,0.854,0.12,0.585,158.678,3ScQ4Yh8RXoqH4L681aixU,132750,4
179,0.33,0.148,7,-17.646,0,0.0275,0.932,0.866,0.119,0.16,64.149,5gO7AvwZsJI8R7fX7EUVh9,148000,4
180,0.573,0.159,0,-18.769,1,0.0305,0.918,0.914,0.155,0.309,112.788,722ckHHWenb9lzCcKdsqSk,157000,4
181,0.479,0.19,7,-17.276,1,0.0307,0.911,0.923,0.0837,0.0657,63.08,78ZirhOBeil0BsvKYxKkNt,154000,4
182,0.459,0.444,8,-9.809,1,0.0324,0.757,0.000505,0.127,0.495,149.259,1maUXICRRl9ceIsqiUU2lA,332600,4
183,0.468,0.733,3,-10.263,1,0.0436,0.547,2.78e-05,0.0793,0.732,138.833,5MmQk4nLYtVglIb1yoNviu,418360,4
184,0.463,0.574,5,-10.587,0,0.0557,0.533,0.065,0.127,0.622,138.602,0ayyoObOb9ujjDq8g3872o,354240,4
185,0.583,0.605,10,-12.675,0,0.0338,0.692,0.537,0.0816,0.838,110.804,3qwUnaeGSLbtnBGfUVrK77,378000,4
186,0.535,0.475,5,-10.487,1,0.0477,0.721,0.00945,0.18,0.564,111.325,2jtD3gIMV9yXrGWu0x59X5,313493,4
187,0.438,0.655,5,-10.059,0,0.0428,0.7,0.00222,0.425,0.832,130.75,15YbWMqbKHBtdqc2677lAR,306573,4
188,0.465,0.396,5,-10.275,0,0.041,0.744,0.000175,0.25,0.487,158.185,4hk1C26YDvDkQhUwiFL6vi,333867,4
189,0.521,0.342,4,-12.836,0,0.0295,0.835,0.0327,0.0888,0.496,79.402,68w3JlS9kBtzBXjBaf56Er,398107,4
190,0.468,0.242,6,-17.236,1,0.035,0.916,0.54,0.139,0.499,83.353,4426y3mTIPQxHwEJoYJrmz,339667,4
191,0.506,0.573,0,-10.959,0,0.0433,0.803,0.0185,0.165,0.69,151.4,4DGfIP7UtJ4l5HQ3zFQBNN,415040,4
