,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,genre,year
107,0.546,0.475,8,-8.757,1,0.101,0.69,0.798,0.164,0.822,121.446,19QQ1fBHq8lRMcmQXyrXC2,146373,4,1,2018
108,0.333,0.134,6,-15.617,0,0.0319,0.971,0.918,0.0941,0.0519,96.887,5k4HxNosYhdn61BjFtKsGr,256024,3,1,2018
109,0.442,0.0354,2,-25.138,1,0.191,0.793,0.0158,0.16,0.181,174.961,2Ys3Qs3vdtKzSskllfbgqj,368000,3,1,2021
110,0.327,0.681,4,-6.393,1,0.0427,0.386,0.0,0.73,0.269,134.183,3I5EvVPHxPekHlkoN9DeJb,350867,4,1,2019
111,0.411,0.0455,2,-25.881,1,0.0434,0.994,0.941,0.0941,0.296,82.311,5i0LZPj2NTTA2QWIdWHXe6,195467,4,1,2019
112,0.129,0.0895,9,-20.128,1,0.0387,0.923,0.941,0.108,0.0649,80.396,1xhNLNBUHGUxVBZYCj1jL5,207733,3,1,2019
113,0.172,0.324,5,-8.0,1,0.034,0.475,0.0,0.0852,0.0692,83.828,3FxDcQ8Rk5NmKaIJ4Wu8GJ,270400,5,1,2019
114,0.2,0.268,7,-13.726,1,0.0511,0.931,3.16e-05,0.238,0.0578,67.203,7buAeXREKTilJUEYCVHvQJ,245787,4,1,2019
115,0.565,0.732,4,-11.449,0,0.0364,3.52e-05,0.944,0.248,0.293,115.96,60q8xidWRPpzI4yLetoapT,183507,4,1,2019
116,0.454,0.21,3,-15.55,1,0.0533,0.79,0.0,0.152,0.185,76.397,6DkAoan4MnJQ0YDLq4QVgV,239427,4,1,2019
117,0.241,0.491,2,-8.793,1,0.042,0.73,0.000348,0.968,0.144,139.086,6RcK28r07beyye9Qd0gACF,293720,4,1,2019
118,0.328,0.196,7,-12.391,1,0.0341,0.942,0.00133,0.147,0.0702,116.83,2haLq2rfUQ4LZwi3vonV8f,213067,4,1,2019
119,0.191,0.122,5,-20.799,1,0.0365,0.936,0.385,0.0834,0.056,79.435,54JXQftoesrsSlIZBe0BVd,242000,3,1,2019
120,0.694,0.546,5,-7.911,1,0.0258,0.59,7.86e-05,0.113,0.452,107.974,4N7DFvpU48jZvFwxAgQ2lV,215520,4,1,2019
121,0.312,0.247,1,-10.619,1,0.0381,0.949,3.09e-05,0.0817,0.19,120.102,0JKwmoF7pVGslj4vXWZ6fI,195240,3,1,2019
122,0.355,0.366,8,-14.614,1,0.0448,0.777,0.835,0.343,0.289,111.649,7yUH7eB0hyvagxrsOR3nFo,205013,4,1,2019
123,0.255,0.765,9,-6.176,1,0.0412,0.0675,6.36e-05,0.972,0.339,159.297,3jXFd9Kj15OaKm0Ic3h5Z6,300213,4,1,2019
124,0.24,0.0766,7,-19.367,1,0.0399,0.967,0.274,0.114,0.153,69.633,3a3nddz4wLIwObj1CnP8f4,189800,3,1,2019
125,0.363,0.432,9,-8.57,0,0.0336,0.555,0.0,0.166,0.132,129.406,2eXrCyeCVwxJ4ICvgjj6Tw,229587,4,1,2019
126,0.233,0.479,4,-6.564,1,0.0291,0.61,0.559,0.111,0.136,89.418,5qxLqtXwzOgEaEoYEMVd9r,209000,4,1,2019
127,0.388,0.124,7,-24.944,0,0.0529,0.954,0.91,0.0942,0.0398,146.93,1KUpQCeadO3LwxhTbDlKr4,129560,4,1,2019
128,0.173,0.123,6,-24.479,1,0.046,0.907,0.962,0.347,0.0719,116.998,2POJeKM17cGKMIEXCLep41,211000,3,1,2019
129,0.289,0.558,2,-10.888,1,0.0432,0.388,0.0,0.692,0.233,150.431,3VbUkOmoA7B5jMpkePBfwd,324173,4,1,2019
130,0.54,0.444,5,-10.589,0,0.0309,0.0695,0.9,0.323,0.533,135.079,5cWpux8lSfEAu80AUVHMqN,81363,5,1,2018
131,0.509,0.823,10,-6.1,0,0.0344,0.00104,0.783,0.083,0.326,88.011,3WBanfvrlG59AbyQ1CjOQa,199091,4,1,2018
132,0.67,0.59,6,-4.542,0,0.0243,0.0012,0.872,0.322,0.763,87.976,6gNMo6TUfdh7BXdMPboqe6,243020,4,1,2018
133,0.618,0.902,10,-6.087,0,0.0631,0.00047,0.913,0.105,0.677,169.686,0t0jGAOohynHd4ZJzNyCDv,285529,4,1,2018
134,0.515,0.519,11,-9.572,1,0.117,0.0713,0.00582,0.261,0.884,154.273,5uXbtBSXBtpy9j0sNJTtEl,65455,4,1,2018
135,0.494,0.812,11,-3.894,0,0.0848,0.13,0.00141,0.119,0.697,179.932,2SdS1T6c6CgORl5YA7NmPp,288000,4,1,2018
136,0.615,0.687,0,-9.621,0,0.0442,0.212,0.042,0.333,0.881,169.925,3u4UPkWcYV07Y93POr7ASf,231549,4,1,2018
137,0.278,0.701,4,-5.972,0,0.029,0.054,0.601,0.136,0.323,78.0,5CqEWpULDdplkY0lrADVUf,329013,4,1,2018
138,0.492,0.638,2,-7.777,0,0.0297,0.00642,0.000107,0.172,0.581,146.094,4kdUuisg0wrshjMPX8Y0GB,88767,4,1,2018
139,0.482,0.795,3,-5.671,0,0.0303,0.000315,0.0266,0.0404,0.694,191.975,6oZoEEjBQCoRPa0HaKGyOU,232966,4,1,2018
140,0.606,0.925,1,-5.48,1,0.158,0.00375,0.953,0.295,0.522,169.975,3LHKKvBd65ZeWdt1jU8K2i,268516,4,1,2018
141,0.256,0.343,9,-7.746,0,0.036,0.00163,0.0313,0.0502,0.618,181.827,5wjCsRQOCXjl7sb9eI0M9S,83592,3,1,2018
142,0.49,0.805,4,-7.168,1,0.0403,0.246,0.0,0.478,0.506,119.084,1ux1M52QrydfOXZoiEkoCu,249720,4,1,2017
143,0.473,0.927,0,-6.867,1,0.13,0.0266,0.000279,0.728,0.411,119.385,0wN14CilIqJbP619kg8DZX,264707,4,1,2017
144,0.564,0.559,9,-8.811,0,0.0297,0.115,0.0,0.154,0.364,122.283,3cVkWZkybwPa92ZOVPhdkF,300200,4,1,2017
145,0.406,0.973,0,-6.378,0,0.15,0.0541,0.000131,0.333,0.273,166.346,6PJqCLrpdBRAYWCQwICTV0,219160,4,1,2017
146,0.336,0.669,0,-8.425,1,0.0398,0.359,0.0,0.203,0.224,134.099,25nhzQ9iy8n501hUx8eSyj,226093,4,1,2017
147,0.405,0.939,4,-7.264,1,0.0627,0.0243,0.0,0.361,0.53,132.911,3wYPUVmhkMcfxm3UoqD5ey,315907,4,1,2017
148,0.443,0.97,0,-6.181,1,0.0666,0.0102,1.94e-05,0.649,0.299,129.404,0LKWnrPsDuAAahWjmJ7Hul,252813,4,1,2017
149,0.321,0.976,9,-7.655,1,0.155,0.00415,0.00177,0.0779,0.32,190.805,5J0gJzGyLC2bVjEDoOI5iU,200200,4,1,2017
150,0.431,0.778,7,-8.308,1,0.0534,0.0822,1.55e-06,0.275,0.219,138.587,7b4B6ZkDJ5bvxUf1gRqea9,328227,4,1,2017
151,0.439,0.219,2,-12.119,1,0.0271,0.687,0.0,0.182,0.172,101.909,10Kd1qtzsfv7aqLCknR5hL,199507,3,1,2017
152,0.463,0.948,9,-7.408,0,0.135,0.0701,0.0,0.389,0.285,130.851,68WpZXuo41LJIWCBGXWXcX,206307,4,1,2017
153,0.446,0.935,4,-6.095,1,0.0468,0.0119,3.91e-06,0.973,0.516,124.721,1vi4VKw9wUFkGsAIJWYAKD,257773,4,1,2017
154,0.326,0.836,9,-6.426,0,0.0422,0.0034,0.000472,0.635,0.523,124.526,1a77QQUmK2BAmdcrQJLrIz,342293,4,1,2017
155,0.29,0.46,2,-8.16,1,0.031,0.511,0.0,0.982,0.176,102.66,6uLxhkai31RUXMv2SlCG6P,201867,3,1,2017
156,0.353,0.498,5,-6.969,1,0.0348,0.132,0.0,0.174,0.28,98.586,29WpPGq9zy0UnPNZjUemxO,222880,4,1,2017
157,0.256,0.501,4,-7.305,1,0.0322,0.413,3.28e-05,0.271,0.0702,137.865,1AQWaTOT6NJRIZewy0Eaom,348040,4,1,2017
