Country,year,New_cases,New_deaths,Cumulative_cases,Cumulative_deaths
Kenya,2021,84988,1871,181239,3538
Kiribati,2020,0,0,0,0
Kiribati,2021,0,0,0,0
Kosovo[1],2020,51101,1322,51101,1322
Kosovo[1],2021,56563,924,107664,2246
Kuwait,2020,150298,933,150298,933
Kuwait,2021,196262,970,346560,1903
Kyrgyzstan,2020,81034,1355,81034,1355
Kyrgyzstan,2021,37947,609,118981,1964
Lao People's Democratic Republic,2020,41,0,41,0
Lao People's Democratic Republic,2021,2039,3,2080,3
Latvia,2020,39043,626,39043,626
Latvia,2021,98067,1874,137110,2500
Lebanon,2020,177996,1443,177996,1443
Lebanon,2021,366006,6392,544002,7835
Lesotho,2020,2577,50,2577,50
Lesotho,2021,8591,279,11168,329
Liberia,2020,1800,83,1800,83
Liberia,2021,1465,27,3265,110
Libya,2020,99935,1459,99935,1459
Libya,2021,91725,1726,191660,3185
Liechtenstein,2020,2221,44,2221,44
Liechtenstein,2021,904,14,3125,58
Lithuania,2020,145276,1802,145276,1802
Lithuania,2021,133332,2576,278608,4378
Luxembourg,2020,46411,495,46411,495
Luxembourg,2021,24175,323,70586,818
Madagascar,2020,17714,261,17714,261
Madagascar,2021,24452,644,42166,905
Malawi,2020,6471,189,6471,189
Malawi,2021,28748,989,35219,1178
Malaysia,2020,110485,463,110485,463
Malaysia,2021,606362,4258,716847,4721
Maldives,2020,13757,48,13757,48
Maldives,2021,58921,159,72678,207
Mali,2020,7029,269,7029,269
Mali,2021,7368,256,14397,525
Malta,2020,12541,215,12541,215
Malta,2021,18057,205,30598,420
Marshall Islands,2020,4,0,4,0
Marshall Islands,2021,0,0,4,0
Martinique,2020,6072,42,6072,42
Martinique,2021,6127,57,12199,99
Mauritania,2020,13642,324,13642,324
Mauritania,2021,6870,159,20512,483
Mauritius,2020,527,10,527,10
Mauritius,2021,1325,8,1852,18
Mayotte,2020,5890,55,5890,55
Mayotte,2021,13515,119,19405,174
Mexico,2020,1401529,123845,1401529,123845
Mexico,2021,1086218,108002,2487747,231847
Micronesia (Federated States of),2020,0,0,0,0
Micronesia (Federated States of),2021,0,0,0,0
Monaco,2020,856,3,856,3
Monaco,2021,1706,30,2562,33
Mongolia,2020,1195,0,1195,0
Mongolia,2021,101434,482,102629,482
Montenegro,2020,48544,682,48544,682
Montenegro,2021,51577,926,100121,1608
Montserrat,2020,13,1,13,1
Montserrat,2021,7,0,20,1
Morocco,2020,437332,7355,437332,7355
Morocco,2021,90848,1910,528180,9265
Mozambique,2020,18373,163,18373,163
Mozambique,2021,55279,700,73652,863
Myanmar,2020,124630,2682,124630,2682
Myanmar,2021,26084,593,150714,3275
Namibia,2020,23333,196,23333,196
Namibia,2021,57937,1109,81270,1305
Nauru,2020,0,0,0,0
Nauru,2021,0,0,0,0
Nepal,2020,260593,2758,260593,2758
Nepal,2021,370559,6187,631152,8945
Netherlands,2020,785912,11290,785912,11290
Netherlands,2021,895668,6445,1681580,17735
New Caledonia,2020,38,0,38,0
New Caledonia,2021,91,0,129,0
New Zealand,2020,1806,25,1806,25
New Zealand,2021,563,1,2369,26
Nicaragua,2020,4829,165,4829,165
Nicaragua,2021,1573,25,6402,190
Niger,2020,3110,96,3110,96
Niger,2021,2365,97,5475,193
Nigeria,2020,86576,1278,86576,1278
Nigeria,2021,80825,840,167401,2118
Niue,2020,0,0,0,0
Niue,2021,0,0,0,0
North Macedonia,2020,82794,2488,82794,2488
North Macedonia,2021,72861,2993,155655,5481
Northern Mariana Islands (Commonwealth of the),2020,122,2,122,2
Northern Mariana Islands (Commonwealth of the),2021,61,0,183,2
Norway,2020,48278,436,48278,436
Norway,2021,81757,356,130035,792
Oman,2020,128719,1497,154097,1500
Oman,2021,127823,1351,342206,3823
Other,2020,745,13,128719,1497
Other,2021,19,0,256542,2848
Pakistan,2020,477240,10047,745,13
Pakistan,2021,474625,12061,764,13
Palau,2020,0,0,477240,10047
Palau,2021,0,0,951865,22108
Palestine,2020,154097,1500,0,0
Palestine,2021,188109,2323,0,0
Panama,2020,238279,3933,238279,3933
Panama,2021,158247,2558,396526,6491
Papua New Guinea,2020,780,9,780,9
Papua New Guinea,2021,16299,164,17079,173
Paraguay,2020,106136,2220,106136,2220
Paraguay,2021,305479,9753,411615,11973
Peru,2020,1010496,93066,1010496,93066
Peru,2021,1025953,98007,2036449,191073
Philippines,2020,472523,9230,472523,9230
Philippines,2021,905737,14806,1378260,24036
Pitcairn Islands,2020,0,0,0,0
Pitcairn Islands,2021,0,0,0,0
Poland,2020,1294878,28554,1294878,28554
Poland,2021,1584592,46399,2879470,74953
Portugal,2020,406051,6830,406051,6830
Portugal,2021,463828,10249,869879,17079
Puerto Rico,2020,75888,1484,75888,1484
Puerto Rico,2021,63914,1060,139802,2544
Qatar,2020,143621,245,143621,245
Qatar,2021,77757,342,221378,587
Republic of Korea,2020,60722,900,60722,900
Republic of Korea,2021,93067,1109,153789,2009
Republic of Moldova,2020,143841,2959,143841,2959
Republic of Moldova,2021,112546,3221,256387,6180
Romania,2020,627941,17297,8972,42
Romania,2021,452581,15614,29502,226
Russian Federation,2020,3159297,57019,627941,17297
Russian Federation,2021,2249791,75045,1080522,32911
Rwanda,2020,8250,86,3159297,57019
Rwanda,2021,25010,311,5409088,132064
Réunion,2020,8972,42,8250,86
Réunion,2021,20530,184,33260,397
Saba,2020,5,0,5,0
Saba,2021,2,0,7,0
Saint Barthélemy,2020,189,0,189,0
Saint Barthélemy,2021,851,1,1040,1
Saint Helena,2020,0,0,0,0
Saint Helena,2021,0,0,0,0
Saint Kitts and Nevis,2020,32,0,32,0
Saint Kitts and Nevis,2021,364,3,396,3
Saint Lucia,2020,340,5,340,5
Saint Lucia,2021,4898,79,5238,84
Saint Martin,2020,986,12,986,12
Saint Martin,2021,1328,14,2314,26
Saint Pierre and Miquelon,2020,16,0,16,0
Saint Pierre and Miquelon,2021,10,0,26,0
Saint Vincent and the Grenadines,2020,115,0,115,0
Saint Vincent and the Grenadines,2021,2092,12,2207,12
Samoa,2020,1,0,1,0
Samoa,2021,0,0,1,0
San Marino,2020,2333,59,2333,59
San Marino,2021,2758,31,5091,90
Sao Tome and Principe,2020,1014,17,1014,17
Sao Tome and Principe,2021,1350,20,2364,37
Saudi Arabia,2020,362601,6214,362601,6214
Saudi Arabia,2021,116789,1516,479390,7730
Senegal,2020,18945,402,18945,402
Senegal,2021,23732,757,42677,1159
Serbia,2020,334991,3163,334991,3163
Serbia,2021,381105,3856,716096,7019
Seychelles,2020,226,0,226,0
Seychelles,2021,14885,55,15111,55
Sierra Leone,2020,2560,76,2560,76
Sierra Leone,2021,2595,11,5155,87
Singapore,2020,58569,29,58569,29
Singapore,2021,3924,6,62493,35
Sint Eustatius,2020,19,0,19,0
Sint Eustatius,2021,1,0,20,0
Sint Maarten,2020,1423,27,1423,27
Sint Maarten,2021,1162,5,2585,32
Slovakia,2020,173228,2065,173228,2065
Slovakia,2021,218262,10440,391490,12505
Slovenia,2020,119833,2953,119833,2953
Slovenia,2021,137331,1794,257164,4747
Solomon Islands,2020,17,0,17,0
Solomon Islands,2021,3,0,20,0
